dt_ps,VACF
9.280000000000000000e+03,1.413336155582173292e-02
9.300000000000000000e+03,2.324815078124701367e-02
9.320000000000000000e+03,-8.566363156219556838e-03
9.340000000000000000e+03,-1.502788317193242545e-02
9.360000000000000000e+03,-5.708351296076074645e-03
9.380000000000000000e+03,-1.569498500317267333e-03
9.400000000000000000e+03,8.348285329965217036e-03
9.420000000000000000e+03,3.768397755967965463e-04
9.440000000000000000e+03,-1.022035072968875170e-02
9.460000000000000000e+03,7.859822129960175249e-03
9.480000000000000000e+03,1.814005626846265651e-02
9.500000000000000000e+03,-6.694806527687967735e-04
9.520000000000000000e+03,-8.324337784729768375e-03
9.540000000000000000e+03,2.184674993314931341e-03
9.560000000000000000e+03,9.432901229461932574e-03
9.580000000000000000e+03,-3.591955165123627853e-03
9.600000000000000000e+03,-1.702261245471774903e-02
9.620000000000000000e+03,-1.096569364382746041e-02
9.640000000000000000e+03,-1.392296693894617011e-03
9.660000000000000000e+03,1.404198433042389005e-02
9.680000000000000000e+03,-5.943112789788279442e-03
9.700000000000000000e+03,6.272505947241504252e-03
9.720000000000000000e+03,2.450589922163949955e-02
9.740000000000000000e+03,-2.747053151673597982e-02
9.760000000000000000e+03,-1.164239787492770892e-02
9.780000000000000000e+03,3.192269590409139990e-02
9.800000000000000000e+03,-3.040758263931453258e-03
9.820000000000000000e+03,-2.970977449576046175e-02
9.840000000000000000e+03,-2.133332065806498382e-02
9.860000000000000000e+03,1.723974694486967926e-02
9.880000000000000000e+03,5.109553416907070683e-02
9.900000000000000000e+03,-9.966054462724020790e-03
9.920000000000000000e+03,-8.248339590299480495e-02
9.940000000000000000e+03,2.934245035164325527e-02
