dt_ps,MSD_A2,SEM
5.000000000000000000e+03,1.024565860501603765e+03,2.972395868854767365e+00
5.020000000000000000e+03,1.024240443135388205e+03,2.983127715094502364e+00
5.040000000000000000e+03,1.020344008439105551e+03,2.990261040220902444e+00
5.060000000000000000e+03,1.024238150609575314e+03,3.007470488800806585e+00
5.080000000000000000e+03,1.027276507853517160e+03,3.015075576375182642e+00
5.100000000000000000e+03,1.020873254317804594e+03,3.004903685337671604e+00
5.120000000000000000e+03,1.023279528131938491e+03,3.019636637998394768e+00
5.140000000000000000e+03,1.023934885149444767e+03,3.032529797675193262e+00
5.160000000000000000e+03,1.018804089561215278e+03,3.037670144373647130e+00
5.180000000000000000e+03,1.023903318543731189e+03,3.041614235900407692e+00
5.200000000000000000e+03,1.022900198240359828e+03,3.051369194364288440e+00
5.220000000000000000e+03,1.019756861400772095e+03,3.051605403545142536e+00
5.240000000000000000e+03,1.024032434922762604e+03,3.078456163571382298e+00
5.260000000000000000e+03,1.019631084061449201e+03,3.073344426617506286e+00
5.280000000000000000e+03,1.020765249388141683e+03,3.078556282211497130e+00
5.300000000000000000e+03,1.018773317948707813e+03,3.075529155123252867e+00
5.320000000000000000e+03,1.022407680439643627e+03,3.096120952759429112e+00
5.340000000000000000e+03,1.022804838844456867e+03,3.089442902272050429e+00
5.360000000000000000e+03,1.022916486856134611e+03,3.101987554402047209e+00
5.380000000000000000e+03,1.025555495941649724e+03,3.122399543748683115e+00
5.400000000000000000e+03,1.021548920779675996e+03,3.122425855147372253e+00
5.420000000000000000e+03,1.023687846924824839e+03,3.121235248971049980e+00
5.440000000000000000e+03,1.018354893742300078e+03,3.128812914398510614e+00
5.460000000000000000e+03,1.020030542012246201e+03,3.126400739409940677e+00
5.480000000000000000e+03,1.018139352373747215e+03,3.144337175305992549e+00
5.500000000000000000e+03,1.025050079209685919e+03,3.155442890075341733e+00
5.520000000000000000e+03,1.020841553512466248e+03,3.149853701078934698e+00
5.540000000000000000e+03,1.026466808648699498e+03,3.175082306062739335e+00
5.560000000000000000e+03,1.018801366687281075e+03,3.167161365460354094e+00
5.580000000000000000e+03,1.022411417494981379e+03,3.182198530037394502e+00
5.600000000000000000e+03,1.023765819825877088e+03,3.183257230178131003e+00
5.620000000000000000e+03,1.022552399821019208e+03,3.192507933787371410e+00
5.640000000000000000e+03,1.022216528595908812e+03,3.195288430788600031e+00
5.660000000000000000e+03,1.022714966365759437e+03,3.222630803366871355e+00
5.680000000000000000e+03,1.017646621803015023e+03,3.196053342183418966e+00
